county,state,county_fips
Kusilvak Census Area,Alaska,2158
Bristol Bay plus Lake and Peninsula,Alaska,2997
Yakutat plus Hoonah-Angoon,Alaska,2998
Oglala Lakota,South Dakota,46102
Saipan,Northern Mariana Islands,69110
Tinian,Northern Mariana Islands,69120
Adjuntas,Puerto Rico,72001
Aguada,Puerto Rico,72003
Aguadilla,Puerto Rico,72005
Aguas Buenas,Puerto Rico,72007
Aibonito,Puerto Rico,72009
Anasco,Puerto Rico,72011
Arecibo,Puerto Rico,72013
Arroyo,Puerto Rico,72015
Barceloneta,Puerto Rico,72017
Barranquitas,Puerto Rico,72019
Bayamon,Puerto Rico,72021
Cabo Rojo,Puerto Rico,72023
Caguas,Puerto Rico,72025
Camuy,Puerto Rico,72027
Canovanas,Puerto Rico,72029
Carolina,Puerto Rico,72031
Catano,Puerto Rico,72033
Cayey,Puerto Rico,72035
Ceiba,Puerto Rico,72037
Ciales,Puerto Rico,72039
Cidra,Puerto Rico,72041
Coamo,Puerto Rico,72043
Comerio,Puerto Rico,72045
Corozal,Puerto Rico,72047
Culebra,Puerto Rico,72049
Dorado,Puerto Rico,72051
Fajardo,Puerto Rico,72053
Florida,Puerto Rico,72054
Guanica,Puerto Rico,72055
Guayama,Puerto Rico,72057
Guayanilla,Puerto Rico,72059
Guaynabo,Puerto Rico,72061
Gurabo,Puerto Rico,72063
Hatillo,Puerto Rico,72065
Hormigueros,Puerto Rico,72067
Humacao,Puerto Rico,72069
Isabela,Puerto Rico,72071
Jayuya,Puerto Rico,72073
Juana Diaz,Puerto Rico,72075
Juncos,Puerto Rico,72077
Lajas,Puerto Rico,72079
Lares,Puerto Rico,72081
Las Marias,Puerto Rico,72083
Las Piedras,Puerto Rico,72085
Loiza,Puerto Rico,72087
Luquillo,Puerto Rico,72089
Manati,Puerto Rico,72091
Maricao,Puerto Rico,72093
Maunabo,Puerto Rico,72095
Mayaguez,Puerto Rico,72097
Moca,Puerto Rico,72099
Morovis,Puerto Rico,72101
Naguabo,Puerto Rico,72103
Naranjito,Puerto Rico,72105
Orocovis,Puerto Rico,72107
Patillas,Puerto Rico,72109
Penuelas,Puerto Rico,72111
Ponce,Puerto Rico,72113
Quebradillas,Puerto Rico,72115
Rincon,Puerto Rico,72117
Rio Grande,Puerto Rico,72119
Sabana Grande,Puerto Rico,72121
Salinas,Puerto Rico,72123
San German,Puerto Rico,72125
San Juan,Puerto Rico,72127
San Lorenzo,Puerto Rico,72129
San Sebastian,Puerto Rico,72131
Santa Isabel,Puerto Rico,72133
Toa Alta,Puerto Rico,72135
Toa Baja,Puerto Rico,72137
Trujillo Alto,Puerto Rico,72139
Utuado,Puerto Rico,72141
Vega Alta,Puerto Rico,72143
Vega Baja,Puerto Rico,72145
Vieques,Puerto Rico,72147
Villalba,Puerto Rico,72149
Yabucoa,Puerto Rico,72151
Yauco,Puerto Rico,72153
St. Croix,Virgin Islands,78010
St. John,Virgin Islands,78020
St. Thomas,Virgin Islands,78030
